district,dem.house.2018,gop.house.2018,total.turnout.2018.house,pct_reported,precincts_reporting,precincts_total,uncontested,dem.turnout.2018.house,rep.turnout.2018.house,dem.house.margin.2018,dem.house.2016,gop.house.2016,dem.house.margin.2016,dem.house.2012,gop.house.2012,dem.house.margin.2012,dem.house.2014,gop.house.2014,dem.house.margin.2014,total.turnout.2016.house,dem.turnout.2016.house,rep.turnout.2016.house,total.turnout.2014.house,dem.turnout.2014.house,rep.turnout.2014.house,dem.turnout.2012.house,rep.turnout.2012.house,total.turnout.2012.house,obama.2008,mccain.2008,obama.margin.2008,obama.2012,romney.2012,obama.margin.2012,clinton.2016,trump.2016,clinton.margin.2016,total.pres.turnout.2016,clinton.turnout.2016,trump.turnout.2016,obama_trump,romney_clinton,too_early,stcode,abbcode,anycong,nocong,evanprot,catholic,mainprot,other,congsession,yrelected,stateabbr,cdnum,educ.coll,educ.hs,educ.no_hs,educ.some_coll,asian,black,race.oth,white,cd_num,fips_cd113,prohibit_taxpayer_abortion,cut_defense_spending,gun_control_background_checks,race_problems_isolated,attitudes_deport_immig,obamacare_repeal,white_people_advantage,abortion_always_legal,min_wage_12,full_name,prob_rep_win,proj_dem_2party,prob_dem_win,proj_rep_2party,econ.proj.dem.margin.2018,density_type,high_minus_low_density,High.density,Medium.density,Low.density,Very.low.density,density_type.slim,swing_obama_clinton,swing_house_dems,race_called,uncontested_2016,uncontested_2012,region,D.Polling.Margin
AK-AL,0.466936913,0.533063087,280978,1,442,442,0,131199,149779,-0.066126174,0.36,0.503,-0.143,0.309,0.691,-0.382,0.41,0.51,-0.1,308198,111019,155088,279725,114596,142566,82927,185296,268223,0.38,0.6,-0.22,0.41,0.55,-0.14,0.38,0.53,-0.15,309407,116454,163387,0,0,0,2,AK00,33.909107,66.090897,14.215094,7.1618953,4.5830159,7.9491024,116,2018,AK,AL,27.47624251,27.09728451,8.413046344,37.01342664,4.944194205,3.153798974,29.65878445,62.24322237,8,201,0.515266965,0.315132017,0.821347572,0.243729562,0.47772479,0.599844172,0.466513564,0.548744004,0.598439185,Alaska at-large,0.7805,0.477831538,0.2195,0.522168462,-0.044336924,Pure rural,-0.39356147,0.089431195,0.229245042,0.198331097,0.482992665,Rural,-0.01,-0.043,1,0,0,West,-3.194552665
AL-01,0.368012077,0.631987923,242454,1,336,336,0,89226,153228,-0.263975847,0,0.964,-0.964,0,1,-1,0.317,0.682,-0.365,215893,0,208083,152234,48278,103758,0,196374,196374,0.39,0.61,-0.22,0.37,0.62,-0.24,0.34,0.64,-0.29,303478,103364,192634,0,0,0,1,AL01,59.330441,40.669559,35.985249,6.8356462,8.1130981,8.3964481,116,2018,AL,1,21.23685636,33.01139592,15.83711803,29.91462969,1.373044706,27.33362643,4.327824185,66.96550467,1,101,0.523524774,0.338865541,0.854399737,0.242174698,0.535579124,0.669647157,0.4329891,0.40657838,0.570747644,Alabama 1st,0.9996,0.315711229,0.0004,0.684288771,-0.368577542,Rural-suburban mix,-0.357008961,0.008350013,0.197413357,0.428877657,0.365358974,Rural,-0.05,-0.599,1,-1,-1,South,NA
AL-02,0.384974093,0.615025907,225810,1,371,371,0,86931,138879,-0.230051813,0.405,0.488,-0.083,0.363,0.637,-0.274,0.326,0.673,-0.348,276584,112089,134886,167952,54692,113103,103092,180591,283683,0.35,0.65,-0.3,0.36,0.63,-0.27,0.33,0.65,-0.32,285664,94299,185505,0,0,0,1,AL02,62.923569,37.076431,41.722069,2.0672269,9.3508797,9.7833939,116,2018,AL,2,20.87255708,32.53493676,17.56229394,29.03021223,1.101248254,28.98973696,4.848317141,65.06069764,2,102,0.672890429,0.315432044,0.919221731,0.245952422,0.537940261,0.685309456,0.347168899,0.382111169,0.580503872,Alabama 2nd,0.9364,0.425674278,0.0636,0.574325722,-0.148651445,Pure rural,-0.535486669,0,0.148365611,0.31614772,0.535486669,Rural,-0.05,0.265,1,0,0,South,NA
AL-03,0.362417266,0.637582734,231766,1,303,303,0,83996,147770,-0.275165469,0.329,0.669,-0.34,0.359,0.641,-0.282,0.337,0.661,-0.324,287104,94549,192164,156620,52816,103558,98141,175306,273447,0.37,0.63,-0.26,0.37,0.62,-0.26,0.32,0.65,-0.33,288776,93300,188477,0,0,0,1,AL03,57.355934,42.644066,39.892826,1.9593846,7.4343238,8.0693998,116,2018,AL,3,18.95325466,32.52501207,19.93532232,28.58641095,1.099002907,25.14721891,3.472600202,70.28117798,3,103,0.588193509,0.247146466,0.904084923,0.226861283,0.601638208,0.730988822,0.390380466,0.406891467,0.57875655,Alabama 3rd,0.9939,0.380607747,0.0061,0.619392253,-0.238784505,Pure rural,-0.535714496,0.0046928,0.065552228,0.389347676,0.540407296,Rural,-0.07,-0.016,1,0,0,South,NA
AL-04,0.201484743,0.798515257,230747,1,434,434,0,46492,184255,-0.597030514,0,0.985,-0.985,0.259,0.741,-0.482,0,1,-1,239444,0,235925,134752,0,132831,69706,199071,268777,0.26,0.73,-0.48,0.24,0.75,-0.51,0.17,0.8,-0.63,290726,50722,233661,0,0,0,1,AL04,66.663681,33.336319,53.692081,4.245904,5.5274782,3.1982174,116,2018,AL,4,14.74439435,33.7726111,22.6423206,28.84067395,0.531812851,6.699659161,5.255961078,87.51256691,4,104,0.640925018,0.371403014,0.843277725,0.300421516,0.681108538,0.786403189,0.269109021,0.333432791,0.475150823,Alabama 4th,1,0.203169187,0,0.796830813,-0.593661626,Pure rural,-0.69533214,0,0.015726352,0.288941508,0.69533214,Rural,-0.12,0.015,1,-1,0,South,NA
AL-05,0.389278598,0.610721402,260451,1,207,207,0,101388,159063,-0.221442805,0.332,0.667,-0.335,0.35,0.65,-0.3,0,0.744,-0.744,308326,102234,205647,154974,0,115338,101772,189185,290957,0.36,0.63,-0.26,0.35,0.64,-0.29,0.31,0.65,-0.33,309937,97159,200571,0,0,0,1,AL05,55.356468,44.643532,38.622173,4.1674995,9.1249237,3.4418716,116,2018,AL,5,28.43757356,27.57076973,14.91504145,29.07661526,1.529027862,16.68332915,5.949438807,75.83820418,5,105,0.634725537,0.349669812,0.863714819,0.240376001,0.516155234,0.74756357,0.358538618,0.370795696,0.589825923,Alabama 5th,0.9972,0.352868041,0.0028,0.647131959,-0.294263917,Rural-suburban mix,-0.398973049,0,0.168205655,0.432821297,0.398973049,Rural,-0.04,0.409,1,0,0,South,NA
AL-06,0.30786596,0.69213404,278186,1,185,185,0,85644,192542,-0.38426808,0.254,0.745,-0.491,0.287,0.713,-0.426,0.237,0.762,-0.525,329306,83709,245313,178449,42291,135945,88267,219262,307529,0.25,0.74,-0.49,0.25,0.74,-0.5,0.26,0.71,-0.45,329849,86116,233493,0,0,0,1,AL06,68.462845,31.537155,43.528145,5.5365024,8.4790277,10.91917,116,2018,AL,6,33.68917712,26.25666392,11.89432483,28.15983413,1.680298849,13.28547743,4.256038324,80.7781854,6,106,0.597827364,0.270313284,0.835455758,0.30830186,0.599131691,0.676852256,0.358651563,0.435845199,0.499053646,Alabama 6th,0.9999,0.316405787,1E-04,0.683594213,-0.367188427,Rural-suburban mix,-0.334840228,0.011479682,0.151928697,0.49027171,0.346319911,Rural,0.05,0.034,1,0,0,South,NA
AL-07,1,0,185010,NA,0,0,1,185010,0,1,0.984,0,0.984,0.759,0.241,0.518,1,0,1,233028,229330,0,135899,133687,0,232520,73835,306355,0.72,0.28,0.43,0.72,0.27,0.45,0.7,0.29,0.41,293231,204586,83915,0,0,NA,1,AL07,70.368248,29.631752,40.843479,4.575119,8.831563,16.118088,116,2018,AL,7,17.55987661,33.69681005,19.15912793,29.58418541,0.624401422,63.40741469,2.480245131,33.48793875,7,107,0.497390419,0.386446617,0.934918018,0.14861964,0.458712495,0.507427552,0.613696553,0.536007908,0.723097153,Alabama 7th,0,1,1,0,1,Rural-suburban mix,-0.275250836,0.027804974,0.339117516,0.330021701,0.303055809,Rural,-0.04,-0.016,1,1,0,South,NA
AR-01,0.287743795,0.689492907,201245,1,771,771,0,57907,138757,-0.401749112,0,0.763,-0.763,0.41,0.59,-0.18,0.324,0.633,-0.309,241047,0,183866,196256,63555,124139,96601,138800,235401,0.39,0.58,-0.19,0.36,0.61,-0.25,0.3,0.65,-0.35,260717,78688,169438,0,0,0,5,AR01,54.363762,45.636238,42.309032,1.5959495,5.936132,4.5226479,116,2018,AR,1,14.15966696,38.80886302,19.78767561,27.24379441,0.406504616,18.03435567,3.72360397,77.83553574,18,501,0.587422588,0.299855458,0.84491357,0.22991573,0.564115293,0.624328783,0.359750699,0.345114241,0.589322648,Arkansas 1st,1,0.313433323,0,0.686566677,-0.373133355,Pure rural,-0.650547977,0,0.084576765,0.264875258,0.650547977,Rural,-0.1,-0.454,1,-1,0,South,-34.43576006
AR-02,0.458211187,0.521299807,253453,1,391,391,0,116135,132125,-0.06308862,0.368,0.583,-0.215,0.417,0.583,-0.166,0.436,0.519,-0.083,302464,111347,176472,237330,103477,123073,113156,158175,271331,0.44,0.54,-0.1,0.43,0.55,-0.12,0.42,0.52,-0.11,306974,127883,160782,0,0,0,5,AR02,52.950802,47.049198,35.198685,4.7046595,7.9433126,5.1041451,116,2018,AR,2,26.8113027,31.33671961,12.09181727,29.76016041,1.441304199,21.1410123,5.006479813,72.41120368,19,502,0.554177734,0.347241682,0.931759243,0.207977451,0.493133229,0.602364049,0.472701076,0.449396932,0.596318062,Arkansas 2nd,0.923,0.44843698,0.077,0.55156302,-0.10312604,Rural-suburban mix,-0.300471238,0.004673956,0.294859311,0.39532154,0.305145193,Rural,0.01,-0.132,1,0,0,South,-9.589461681
